	SRR29551967_R1_filtered.fastq.gz	SRR29551968_R1_filtered.fastq.gz	SRR29551969_R1_filtered.fastq.gz	SRR29551970_R1_filtered.fastq.gz	SRR29551971_R1_filtered.fastq.gz	SRR29551972_R1_filtered.fastq.gz	SRR29551973_R1_filtered.fastq.gz	SRR29551974_R1_filtered.fastq.gz	SRR29551975_R1_filtered.fastq.gz	SRR29551976_R1_filtered.fastq.gz	SRR29551977_R1_filtered.fastq.gz	SRR29551978_R1_filtered.fastq.gz	SRR29551979_R1_filtered.fastq.gz	SRR29551980_R1_filtered.fastq.gz	SRR29551981_R1_filtered.fastq.gz	SRR29551982_R1_filtered.fastq.gz	SRR29551983_R1_filtered.fastq.gz	SRR29551984_R1_filtered.fastq.gz	SRR29551985_R1_filtered.fastq.gz	SRR29551986_R1_filtered.fastq.gz	SRR29551987_R1_filtered.fastq.gz	SRR29551988_R1_filtered.fastq.gz	SRR29551989_R1_filtered.fastq.gz	SRR29551990_R1_filtered.fastq.gz	SRR29551991_R1_filtered.fastq.gz	SRR29551992_R1_filtered.fastq.gz	SRR29551993_R1_filtered.fastq.gz	SRR29551994_R1_filtered.fastq.gz	SRR29551995_R1_filtered.fastq.gz	SRR29551996_R1_filtered.fastq.gz	SRR29551997_R1_filtered.fastq.gz	SRR29551998_R1_filtered.fastq.gz	SRR29551999_R1_filtered.fastq.gz	SRR29552000_R1_filtered.fastq.gz	SRR29552001_R1_filtered.fastq.gz	SRR29552002_R1_filtered.fastq.gz	SRR29552003_R1_filtered.fastq.gz	SRR29552004_R1_filtered.fastq.gz	SRR29552005_R1_filtered.fastq.gz
ASV_113	76	52	88	52	120	129	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	58	230	84	21	61	40	35	58	74	36	107	61	40	113	78	46	249
ASV_114	84	169	130	167	78	95	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	85	114	86	64	68	0	78	0	58	70	62	86	54	91	77	60	155
ASV_115	0	215	50	125	134	108	0	0	0	19	0	0	46	121	0	79	0	0	84	192	71	0	0	0	0	358	0	34	144	0	86	76	0	0	0	0	0	0	60
ASV_116	98	116	121	161	94	22	0	0	214	0	0	0	0	0	0	56	0	0	0	0	0	0	60	29	74	124	54	0	78	0	128	88	97	41	93	84	74	51	36
ASV_117	205	64	136	62	56	100	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	74	0	54	42	136	0	0	0	64	52	94	40	51	133	147	160	203
ASV_118	123	72	56	65	134	150	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	54	75	66	25	88	0	24	0	94	29	108	73	56	114	151	95	211
ASV_119	123	45	61	60	106	135	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	52	73	73	28	90	0	32	0	70	33	83	65	52	162	139	111	239
ASV_120	0	0	0	0	0	0	0	0	0	31	347	347	181	173	101	0	148	224	0	199	74	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_121	0	0	0	0	0	0	0	0	0	0	225	77	955	0	0	0	37	0	0	261	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_122	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	174	267	79	0	0	0	65	172	113	233	340	202	0	0	0	0
ASV_123	57	99	102	131	45	60	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	143	96	143	58	39	73	0	37	101	60	107	117	74	44	46	36	142
ASV_124	95	32	90	26	104	74	8	0	116	0	0	0	0	0	0	53	0	0	0	0	0	0	72	78	97	0	60	62	148	64	131	69	130	60	68	59	0	82	78
ASV_125	90	138	125	145	70	104	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	82	67	93	58	56	0	51	0	90	59	72	81	43	98	49	58	171
ASV_126	71	144	126	162	69	77	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	81	70	99	93	41	0	57	0	71	45	76	58	55	91	89	54	139
ASV_127	195	67	99	52	85	101	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	50	0	68	40	113	0	0	0	74	35	82	45	0	109	117	161	219
ASV_128	49	46	70	32	46	94	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	50	213	82	59	45	26	55	66	130	64	125	50	57	41	33	43	210
ASV_129	45	48	74	51	43	98	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	38	228	72	52	50	17	68	44	134	56	147	42	51	43	37	41	234
ASV_130	74	117	116	153	84	85	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	65	97	109	70	43	102	45	42	67	0	43	79	0	93	71	56	114
ASV_131	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	1640	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_132	0	0	0	0	0	0	0	0	0	0	247	62	852	0	0	0	61	0	0	206	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_133	0	0	0	0	0	0	196	0	0	0	0	35	860	0	112	0	236	0	0	157	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_134	94	115	129	136	78	101	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	81	94	88	64	45	0	45	0	75	40	37	82	0	100	85	71	104
ASV_135	0	123	183	126	78	75	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	99	0	111	97	0	0	0	0	143	69	146	138	66	94	50	0	67
ASV_136	44	28	101	50	43	146	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	104	0	62	109	40	0	0	26	97	0	175	213	172	44	53	55	63
